 x1  x2  x3  x4    x5    x6     x7       x8      x9    x10    x11   x12  x13   x14       x15  x16  x17  x18  x19    y
 13  17   9  15  28.000   0  -1.14045   3.660  4.490   3409   65.8   18   81  42.2    660000   77  100   59    1  35.0
 28  20  32  18  18.400  18  -0.13719   2.594  3.610   7258   66.3   17   82  40.5    150555   88   94   41   25  57.0
 32  20  20  20  34.800  18   1.55358   2.060  4.930   6405   75.0   19   71  46.5    415400   94   81   25   36  51.3
 32  21  24  21  14.500  20   2.05712   2.887  3.876  18294   66.0   16   84  42.2    211000   93   88   26   13  41.3
 24  20  16  20  21.800  13  -0.77082   2.565  4.960   8259   63.5   16   91  41.2     44000   90   92   32   31  65.7
 14  18  37  24  19.400   3  -0.46869   3.394  4.120   5630   62.5   17   91  38.3    119659   76   81   45    7  54.7
 38  21  31  26  12.400   4  -1.14045   9.478  4.433   2689   70.6   19   79  42.5    129183   78   88   51   18  69.3
 60  27  74  15  14.900  17   0.05876  20.427  7.770   3858   97.5   13   80  60.1    574000   98   40   49   72  85.7
 12  19  41  28  17.000  12  -1.14045   4.422  4.862   2467   67.5   23   93  42.7     28176   87   92   51    7  61.3
 54  25  19  16  31.400   8   0.21029   2.630  4.130   9809   63.9   21   92  48.3    264000   80   73   26   71  56.7
 46  19  38  19  24.200   0  -1.14045   3.447  4.320   2531   65.2   21   91  43.1     23285   83   89   53    2  52.0
 32  22  49  21  16.500   7   0.21844   3.252  3.888   9736   68.6   17   89  42.0     11145   85   69   39   31  70.0
 24  23  27   5  27.500   9  -0.60248   2.191  6.112   4308   75.9   14   84  46.0   1980000   96   85   13   31  65.7
 24  22  24  13  26.000  18  -0.80431   2.925  5.050   4420   70.6   20   88  46.4    104000   97   76   41   21  56.7
 89  29  84  27  12.000  11   1.72044  21.550  6.853   9314  100.9    8   71  54.3    264000   99   28   40   85  92.7
 38  19  20  14  22.500   4  -0.27792   3.529  4.528   2262   62.1   19   79  40.7     24846   74   72   32   10  33.7
 12  18  32  19  18.263   5  -0.97265   1.806  3.680   3969   63.9   19   83  43.5    108480   76   78   47   13  48.7
 56  24  21   6  40.000  22  -0.12039   1.826  4.610   9018   72.3   23   75  45.4    181600   90   61   25    6  63.3
 45  21  20  21  28.000  26   0.37003   1.988  5.742   6318   67.8   22   77  45.4    234000   98   75   35   16  64.3
 53  16   7  11  17.200   1  -1.14045   1.802  5.610  10197   68.0   17   51  43.9    756000   95   66   30    5  45.7
 53  24  30  19  29.000   0  -0.12039   2.838  4.323   5840   76.4   15   88  47.4    126200   97   66   15   10  60.7
 82  24  54  22  13.000   4   0.37003   2.901  4.563   6634   88.6   15   73  56.0   2960000   93   75   41   33  67.3
 32  20  21  12  16.000   6  -0.97265   2.949  4.968   7861   75.5   11   15  48.9    362000   90   67   20    5  54.3
 20  18   9  12  31.000  19  -0.80484   2.257  4.260   8479   79.8   19   44  47.8   3731000   87   74   49    3  35.3
 49  25  33  20  62.000  30   0.38303   4.374  5.078  13173   83.6   15   72  51.2    173025   96   71   62    7  77.0
 21  21  39  23  34.700   0   1.72192   4.212  5.492  15328   77.4   22   88  43.6     60633   66   84   38   32  69.0
 20  22  29  14  28.400   0   1.05069   2.998  4.370  14173   80.7   17   90  48.4     59738   98   84   58   28  62.7
 26  22  34  18  26.000   6   0.54956   2.766  3.647  10142   77.3   18   88  46.3     49000   93   91   57   17  60.0
 26  21  22  22  28.000  22   2.22948   2.385  3.850  16277   66.9   19   87  42.8     44000   98   63   40   28  55.3
 74  20  28  16  21.000   0  -0.62598   2.467  3.640   9181   62.4   15   91  41.9     45000   88   69   48    9  47.0
 10  19  31  21  23.635   0  -0.97265   5.014  4.530   2689   71.2   19   88  41.6     28835   85   90   79    4  43.7
 29  22  30  17  24.000   0   1.89280   2.736  4.700  23367   71.2   16   89  48.3    405900   98   78   48   13  49.3
 15  18   9  14  22.000   6   1.21797   2.630  3.230  19055   66.6   16   81  41.4    222600   95   75   43    7  26.7
 26  21  23  12  29.000  13   0.19332   5.832  4.338   7746   67.5   20   81  42.6    186605   83   81   51    9  47.0
 47  17   0  19  13.000   0  -1.14045   2.440  4.696   5639   52.7   20   93  40.2     54844   85   92   48   15  38.0
 41  23  36  16  33.000   0   0.55673   4.460  5.667  14474   81.0   14   63  49.3   2371400   90   64   39   24  61.7
 64  19   0  11  20.000   0   0.04173   2.412  5.000  13913   63.0   19   64  39.4   1007000   80   71   47    9  33.3
 45  22  38  22  14.000  10  -0.60301  19.512  7.352   5812   80.3   13   46  47.9     40100   90   59   54   47  58.0
